epoch=57/300 lr=0.25 train_loss=1.6345 val_loss=1.2102 top1_err=33.600 top5_err=9.690 seconds=154.0 peak_reserved_gib=5.305
epoch=58/300 lr=0.25 train_loss=1.6035 val_loss=1.3516 top1_err=36.680 top5_err=10.600 seconds=154.1 peak_reserved_gib=5.305
epoch=59/300 lr=0.25 train_loss=1.6405 val_loss=1.2938 top1_err=35.820 top5_err=10.610 seconds=154.0 peak_reserved_gib=5.305
epoch=60/300 lr=0.25 train_loss=1.6072 val_loss=1.2775 top1_err=34.000 top5_err=10.340 seconds=154.1 peak_reserved_gib=5.305
epoch=61/300 lr=0.25 train_loss=1.6380 val_loss=1.3127 top1_err=35.160 top5_err=10.010 seconds=154.1 peak_reserved_gib=5.305
epoch=62/300 lr=0.25 train_loss=1.6413 val_loss=1.2470 top1_err=34.500 top5_err=10.050 seconds=154.1 peak_reserved_gib=5.305
epoch=63/300 lr=0.25 train_loss=1.6368 val_loss=1.1421 top1_err=32.170 top5_err=8.440 seconds=154.2 peak_reserved_gib=5.305
epoch=64/300 lr=0.25 train_loss=1.6783 val_loss=1.1251 top1_err=31.740 top5_err=8.410 seconds=154.1 peak_reserved_gib=5.305
epoch=65/300 lr=0.25 train_loss=1.6123 val_loss=1.2304 top1_err=34.180 top5_err=9.390 seconds=154.1 peak_reserved_gib=5.305
epoch=66/300 lr=0.25 train_loss=1.6063 val_loss=1.3537 top1_err=37.060 top5_err=10.770 seconds=154.1 peak_reserved_gib=5.305
epoch=67/300 lr=0.25 train_loss=1.5918 val_loss=1.2192 top1_err=33.580 top5_err=9.780 seconds=154.2 peak_reserved_gib=5.305
epoch=68/300 lr=0.25 train_loss=1.6120 val_loss=1.2496 top1_err=33.970 top5_err=10.110 seconds=154.2 peak_reserved_gib=5.305
epoch=69/300 lr=0.25 train_loss=1.6260 val_loss=1.2208 top1_err=33.230 top5_err=9.560 seconds=154.2 peak_reserved_gib=5.305
epoch=70/300 lr=0.25 train_loss=1.5868 val_loss=1.2424 top1_err=34.060 top5_err=9.260 seconds=154.0 peak_reserved_gib=5.305
epoch=71/300 lr=0.25 train_loss=1.6589 val_loss=1.2306 top1_err=34.130 top5_err=10.020 seconds=154.0 peak_reserved_gib=5.305
epoch=72/300 lr=0.25 train_loss=1.6300 val_loss=1.4867 top1_err=39.750 top5_err=12.750 seconds=154.0 peak_reserved_gib=5.305
epoch=73/300 lr=0.25 train_loss=1.6183 val_loss=1.2688 top1_err=35.020 top5_err=9.630 seconds=154.1 peak_reserved_gib=5.305
epoch=74/300 lr=0.25 train_loss=1.6069 val_loss=1.3038 top1_err=35.110 top5_err=10.680 seconds=154.1 peak_reserved_gib=5.305
epoch=75/300 lr=0.25 train_loss=1.6316 val_loss=1.2300 top1_err=33.790 top5_err=9.870 seconds=154.2 peak_reserved_gib=5.305
epoch=76/300 lr=0.25 train_loss=1.6109 val_loss=1.1591 top1_err=33.140 top5_err=8.440 seconds=154.2 peak_reserved_gib=5.305
epoch=77/300 lr=0.25 train_loss=1.6130 val_loss=1.2489 top1_err=34.330 top5_err=9.490 seconds=154.1 peak_reserved_gib=5.305
epoch=78/300 lr=0.25 train_loss=1.6360 val_loss=1.3011 top1_err=35.430 top5_err=10.560 seconds=154.1 peak_reserved_gib=5.305
epoch=79/300 lr=0.25 train_loss=1.5437 val_loss=1.6149 top1_err=41.430 top5_err=13.580 seconds=154.1 peak_reserved_gib=5.305
epoch=80/300 lr=0.25 train_loss=1.6214 val_loss=1.2715 top1_err=35.060 top5_err=10.480 seconds=154.0 peak_reserved_gib=5.305
epoch=81/300 lr=0.25 train_loss=1.5762 val_loss=1.3546 top1_err=37.580 top5_err=10.090 seconds=154.0 peak_reserved_gib=5.305
epoch=82/300 lr=0.25 train_loss=1.5642 val_loss=1.1850 top1_err=32.930 top5_err=9.010 seconds=154.0 peak_reserved_gib=5.305
epoch=83/300 lr=0.25 train_loss=1.5688 val_loss=1.4929 top1_err=40.090 top5_err=12.000 seconds=154.0 peak_reserved_gib=5.305
epoch=84/300 lr=0.25 train_loss=1.5710 val_loss=1.2396 top1_err=33.840 top5_err=9.970 seconds=154.0 peak_reserved_gib=5.305
epoch=85/300 lr=0.25 train_loss=1.5899 val_loss=1.3477 top1_err=36.250 top5_err=10.840 seconds=154.0 peak_reserved_gib=5.305
epoch=86/300 lr=0.25 train_loss=1.6242 val_loss=1.3117 top1_err=35.220 top5_err=10.730 seconds=154.0 peak_reserved_gib=5.305
epoch=87/300 lr=0.25 train_loss=1.5759 val_loss=1.2025 top1_err=32.930 top5_err=9.400 seconds=154.1 peak_reserved_gib=5.305
epoch=88/300 lr=0.25 train_loss=1.6003 val_loss=1.1549 top1_err=32.500 top5_err=8.950 seconds=154.1 peak_reserved_gib=5.305
epoch=89/300 lr=0.25 train_loss=1.6500 val_loss=1.3246 top1_err=35.950 top5_err=11.040 seconds=153.9 peak_reserved_gib=5.305
epoch=90/300 lr=0.25 train_loss=1.5841 val_loss=1.2106 top1_err=33.790 top5_err=9.150 seconds=154.1 peak_reserved_gib=5.305
epoch=91/300 lr=0.25 train_loss=1.5511 val_loss=1.2009 top1_err=33.300 top5_err=9.180 seconds=154.0 peak_reserved_gib=5.305
epoch=92/300 lr=0.25 train_loss=1.5885 val_loss=1.2585 top1_err=34.660 top5_err=9.860 seconds=155.8 peak_reserved_gib=5.305
epoch=93/300 lr=0.25 train_loss=1.5842 val_loss=1.3150 top1_err=35.750 top5_err=10.680 seconds=154.1 peak_reserved_gib=5.305
epoch=94/300 lr=0.25 train_loss=1.6119 val_loss=1.1464 top1_err=32.480 top5_err=8.390 seconds=154.0 peak_reserved_gib=5.305
epoch=95/300 lr=0.25 train_loss=1.6244 val_loss=1.2505 top1_err=34.930 top5_err=10.250 seconds=154.0 peak_reserved_gib=5.305
epoch=96/300 lr=0.25 train_loss=1.6093 val_loss=1.2432 top1_err=34.900 top5_err=10.340 seconds=154.1 peak_reserved_gib=5.305
epoch=97/300 lr=0.25 train_loss=1.5571 val_loss=1.4439 top1_err=38.140 top5_err=11.910 seconds=154.0 peak_reserved_gib=5.305
epoch=98/300 lr=0.25 train_loss=1.5696 val_loss=1.3541 top1_err=35.870 top5_err=11.140 seconds=154.1 peak_reserved_gib=5.305
epoch=99/300 lr=0.25 train_loss=1.5726 val_loss=1.2596 top1_err=34.360 top5_err=9.540 seconds=154.1 peak_reserved_gib=5.305
epoch=100/300 lr=0.25 train_loss=1.5876 val_loss=1.2022 top1_err=33.610 top5_err=9.390 seconds=154.1 peak_reserved_gib=5.305
epoch=101/300 lr=0.25 train_loss=1.6483 val_loss=1.3526 top1_err=37.210 top5_err=11.050 seconds=154.1 peak_reserved_gib=5.305
epoch=102/300 lr=0.25 train_loss=1.5824 val_loss=1.2100 top1_err=33.560 top5_err=9.360 seconds=154.1 peak_reserved_gib=5.305
epoch=103/300 lr=0.25 train_loss=1.5822 val_loss=1.1491 top1_err=31.800 top5_err=8.760 seconds=154.0 peak_reserved_gib=5.305
epoch=104/300 lr=0.25 train_loss=1.5800 val_loss=1.3053 top1_err=35.500 top5_err=10.800 seconds=154.1 peak_reserved_gib=5.305
epoch=105/300 lr=0.25 train_loss=1.5491 val_loss=1.1569 top1_err=33.000 top5_err=8.620 seconds=154.1 peak_reserved_gib=5.305
epoch=106/300 lr=0.25 train_loss=1.5425 val_loss=1.2551 top1_err=35.040 top5_err=10.340 seconds=154.0 peak_reserved_gib=5.305
epoch=107/300 lr=0.25 train_loss=1.5863 val_loss=1.2315 top1_err=34.430 top5_err=9.680 seconds=154.1 peak_reserved_gib=5.305
epoch=108/300 lr=0.25 train_loss=1.5359 val_loss=1.2801 top1_err=34.860 top5_err=10.370 seconds=154.0 peak_reserved_gib=5.305
epoch=109/300 lr=0.25 train_loss=1.5576 val_loss=1.3477 top1_err=36.440 top5_err=10.930 seconds=154.1 peak_reserved_gib=5.305
epoch=110/300 lr=0.25 train_loss=1.5788 val_loss=1.2232 top1_err=34.600 top5_err=8.820 seconds=154.0 peak_reserved_gib=5.305
epoch=111/300 lr=0.25 train_loss=1.5323 val_loss=1.2658 top1_err=34.410 top5_err=9.990 seconds=154.1 peak_reserved_gib=5.305
epoch=112/300 lr=0.25 train_loss=1.5805 val_loss=1.2222 top1_err=34.090 top5_err=9.350 seconds=154.0 peak_reserved_gib=5.305
epoch=113/300 lr=0.25 train_loss=1.5669 val_loss=1.3643 top1_err=37.900 top5_err=11.220 seconds=154.1 peak_reserved_gib=5.305
epoch=114/300 lr=0.25 train_loss=1.5918 val_loss=1.2711 top1_err=34.660 top5_err=10.330 seconds=154.1 peak_reserved_gib=5.305
epoch=115/300 lr=0.25 train_loss=1.5930 val_loss=1.1616 top1_err=32.920 top5_err=8.540 seconds=154.1 peak_reserved_gib=5.305
epoch=116/300 lr=0.25 train_loss=1.5635 val_loss=1.2715 top1_err=34.860 top5_err=9.230 seconds=154.0 peak_reserved_gib=5.305
epoch=117/300 lr=0.25 train_loss=1.5540 val_loss=1.1782 top1_err=32.930 top5_err=8.400 seconds=154.1 peak_reserved_gib=5.305
epoch=118/300 lr=0.25 train_loss=1.5845 val_loss=1.2059 top1_err=33.090 top5_err=9.860 seconds=154.0 peak_reserved_gib=5.305
epoch=119/300 lr=0.25 train_loss=1.5979 val_loss=1.1863 top1_err=33.290 top5_err=8.630 seconds=154.0 peak_reserved_gib=5.305
epoch=120/300 lr=0.25 train_loss=1.6204 val_loss=1.2476 top1_err=34.210 top5_err=10.050 seconds=154.0 peak_reserved_gib=5.305
epoch=121/300 lr=0.25 train_loss=1.5965 val_loss=1.1741 top1_err=32.560 top5_err=9.280 seconds=154.0 peak_reserved_gib=5.305
epoch=122/300 lr=0.25 train_loss=1.6050 val_loss=1.1156 top1_err=31.110 top5_err=8.570 seconds=154.0 peak_reserved_gib=5.305
epoch=123/300 lr=0.25 train_loss=1.5964 val_loss=1.2599 top1_err=34.010 top5_err=9.880 seconds=154.1 peak_reserved_gib=5.305
epoch=124/300 lr=0.25 train_loss=1.5877 val_loss=1.3623 top1_err=37.110 top5_err=11.900 seconds=154.1 peak_reserved_gib=5.305
epoch=125/300 lr=0.25 train_loss=1.5880 val_loss=1.3364 top1_err=36.050 top5_err=10.670 seconds=154.1 peak_reserved_gib=5.305
epoch=126/300 lr=0.25 train_loss=1.5732 val_loss=1.2608 top1_err=34.560 top5_err=10.240 seconds=154.1 peak_reserved_gib=5.305
epoch=127/300 lr=0.25 train_loss=1.5484 val_loss=1.2975 top1_err=35.830 top5_err=10.310 seconds=154.0 peak_reserved_gib=5.305
epoch=128/300 lr=0.25 train_loss=1.5906 val_loss=1.2723 top1_err=34.990 top5_err=10.670 seconds=154.1 peak_reserved_gib=5.305
epoch=129/300 lr=0.25 train_loss=1.5924 val_loss=1.2165 top1_err=33.040 top5_err=9.530 seconds=154.1 peak_reserved_gib=5.305
epoch=130/300 lr=0.25 train_loss=1.5395 val_loss=1.3612 top1_err=37.120 top5_err=10.440 seconds=154.0 peak_reserved_gib=5.305
epoch=131/300 lr=0.25 train_loss=1.5983 val_loss=1.2609 top1_err=34.860 top5_err=10.260 seconds=154.0 peak_reserved_gib=5.305
epoch=132/300 lr=0.25 train_loss=1.6098 val_loss=1.2943 top1_err=35.500 top5_err=9.950 seconds=154.1 peak_reserved_gib=5.305
epoch=133/300 lr=0.25 train_loss=1.5434 val_loss=1.1954 top1_err=33.700 top5_err=9.270 seconds=154.0 peak_reserved_gib=5.305
epoch=134/300 lr=0.25 train_loss=1.5671 val_loss=1.2172 top1_err=33.120 top5_err=9.510 seconds=154.1 peak_reserved_gib=5.305
epoch=135/300 lr=0.25 train_loss=1.6009 val_loss=1.2605 top1_err=35.040 top5_err=10.310 seconds=154.0 peak_reserved_gib=5.305
epoch=136/300 lr=0.25 train_loss=1.5420 val_loss=1.2725 top1_err=34.750 top5_err=9.900 seconds=154.1 peak_reserved_gib=5.305
epoch=137/300 lr=0.25 train_loss=1.5724 val_loss=1.4297 top1_err=38.120 top5_err=12.520 seconds=154.0 peak_reserved_gib=5.305
epoch=138/300 lr=0.25 train_loss=1.5582 val_loss=1.1317 top1_err=31.660 top5_err=8.250 seconds=154.1 peak_reserved_gib=5.305
epoch=139/300 lr=0.25 train_loss=1.5496 val_loss=1.2013 top1_err=32.940 top5_err=9.500 seconds=155.5 peak_reserved_gib=5.305
epoch=140/300 lr=0.25 train_loss=1.5978 val_loss=1.2457 top1_err=34.790 top5_err=9.800 seconds=154.1 peak_reserved_gib=5.305
epoch=141/300 lr=0.25 train_loss=1.5230 val_loss=1.3830 top1_err=37.790 top5_err=11.260 seconds=154.1 peak_reserved_gib=5.305
epoch=142/300 lr=0.25 train_loss=1.5334 val_loss=1.2208 top1_err=33.920 top5_err=9.990 seconds=154.1 peak_reserved_gib=5.305
epoch=143/300 lr=0.25 train_loss=1.5990 val_loss=1.2606 top1_err=34.820 top5_err=10.090 seconds=154.1 peak_reserved_gib=5.305
epoch=144/300 lr=0.25 train_loss=1.5581 val_loss=1.2555 top1_err=34.830 top5_err=9.920 seconds=154.2 peak_reserved_gib=5.305
epoch=145/300 lr=0.25 train_loss=1.6000 val_loss=1.0726 top1_err=30.200 top5_err=7.980 seconds=154.1 peak_reserved_gib=5.305
epoch=146/300 lr=0.25 train_loss=1.5232 val_loss=1.3431 top1_err=35.860 top5_err=11.420 seconds=154.0 peak_reserved_gib=5.305
epoch=147/300 lr=0.25 train_loss=1.6118 val_loss=1.2636 top1_err=35.060 top5_err=8.990 seconds=154.4 peak_reserved_gib=5.305
epoch=148/300 lr=0.25 train_loss=1.5828 val_loss=1.4348 top1_err=38.320 top5_err=12.320 seconds=154.1 peak_reserved_gib=5.305
epoch=149/300 lr=0.25 train_loss=1.5428 val_loss=1.2825 top1_err=35.160 top5_err=10.460 seconds=154.1 peak_reserved_gib=5.305
epoch=150/300 lr=0.25 train_loss=1.5934 val_loss=1.1878 top1_err=33.350 top5_err=9.080 seconds=154.4 peak_reserved_gib=5.305
epoch=151/300 lr=0.025 train_loss=1.1632 val_loss=0.6176 top1_err=18.110 top5_err=3.390 seconds=154.1 peak_reserved_gib=5.305
epoch=152/300 lr=0.025 train_loss=1.0359 val_loss=0.6016 top1_err=17.870 top5_err=3.340 seconds=154.2 peak_reserved_gib=5.305
epoch=153/300 lr=0.025 train_loss=1.0271 val_loss=0.5882 top1_err=17.290 top5_err=3.040 seconds=154.1 peak_reserved_gib=5.305
epoch=154/300 lr=0.025 train_loss=0.9208 val_loss=0.5803 top1_err=16.980 top5_err=3.190 seconds=154.0 peak_reserved_gib=5.305
epoch=155/300 lr=0.025 train_loss=0.9341 val_loss=0.5856 top1_err=16.610 top5_err=3.170 seconds=154.1 peak_reserved_gib=5.305
epoch=156/300 lr=0.025 train_loss=0.9455 val_loss=0.5782 top1_err=16.880 top5_err=2.990 seconds=154.1 peak_reserved_gib=5.305
epoch=157/300 lr=0.025 train_loss=0.8906 val_loss=0.5721 top1_err=16.660 top5_err=2.980 seconds=154.1 peak_reserved_gib=5.305
epoch=158/300 lr=0.025 train_loss=0.8230 val_loss=0.5840 top1_err=16.710 top5_err=3.080 seconds=154.1 peak_reserved_gib=5.305
epoch=159/300 lr=0.025 train_loss=0.8686 val_loss=0.5992 top1_err=17.090 top5_err=3.330 seconds=154.1 peak_reserved_gib=5.305
epoch=160/300 lr=0.025 train_loss=0.8451 val_loss=0.6089 top1_err=17.590 top5_err=3.150 seconds=154.1 peak_reserved_gib=5.305
epoch=161/300 lr=0.025 train_loss=0.7945 val_loss=0.5918 top1_err=17.010 top5_err=2.960 seconds=154.1 peak_reserved_gib=5.305
epoch=162/300 lr=0.025 train_loss=0.8647 val_loss=0.6172 top1_err=17.200 top5_err=3.120 seconds=154.1 peak_reserved_gib=5.305
epoch=163/300 lr=0.025 train_loss=0.8288 val_loss=0.6033 top1_err=17.320 top5_err=3.170 seconds=154.1 peak_reserved_gib=5.305
epoch=164/300 lr=0.025 train_loss=0.7620 val_loss=0.6181 top1_err=17.050 top5_err=3.450 seconds=154.0 peak_reserved_gib=5.305
